hookJump: Set Jump Hook on 880E46AC to 882585D8 (Module: sceController_Service, Library: sceCtrl, NID: 3A622550).
hookJump: Set Jump Hook on 880E46C8 to 88258544 (Module: sceController_Service, Library: sceCtrl, NID: C152080A).
hookJump: Set Jump Hook on 880E46E4 to 882586F8 (Module: sceController_Service, Library: sceCtrl, NID: 1F803938).
hookJump: Set Jump Hook on 880E4700 to 88258664 (Module: sceController_Service, Library: sceCtrl, NID: 60B81F86).
hookJump: Set Jump Hook on 880E3FDC to 88258BEC (Module: sceController_Service, Library: sceCtrl, NID: B1D0E5CD).
hookJump: Set Jump Hook on 880E4098 to 88258B60 (Module: sceController_Service, Library: sceCtrl, NID: 0B588501).
hookAPI: Couldn't find Module. Might not be loaded yet.
hookJump: Set Jump Hook on 880E8D8C to 8825851C (Module: sceHP_Remote_Driver, Library: sceHprm, NID: 1910B327).
hookJump: Set Jump Hook on 880E8DDC to 88258AD8 (Module: sceHP_Remote_Driver, Library: sceHprm, NID: 2BCEC83E).
hookJump: Set Jump Hook on 880E8ECC to 88258B58 (Module: sceHP_Remote_Driver, Library: sceHprm, NID: 40D2F9F0).
hookSyscall: Set Syscall Hook on 880E46AC to 882585D8 (Module: sceController_Service, Library: sceCtrl, NID: 3A622550).
hookSyscall: Set Syscall Hook on 880E46C8 to 88258544 (Module: sceController_Service, Library: sceCtrl, NID: C152080A).
hookSyscall: Set Syscall Hook on 880E46E4 to 882586F8 (Module: sceController_Service, Library: sceCtrl, NID: 1F803938).
hookSyscall: Set Syscall Hook on 880E4700 to 88258664 (Module: sceController_Service, Library: sceCtrl, NID: 60B81F86).
hookSyscall: Set Syscall Hook on 880E3FDC to 88258BEC (Module: sceController_Service, Library: sceCtrl, NID: B1D0E5CD).
hookSyscall: Set Syscall Hook on 880E4098 to 88258B60 (Module: sceController_Service, Library: sceCtrl, NID: 0B588501).
hookAPI: Couldn't find Module. Might not be loaded yet.
hookSyscall: Set Syscall Hook on 880E8D8C to 8825851C (Module: sceHP_Remote_Driver, Library: sceHprm, NID: 1910B327).
hookSyscall: Set Syscall Hook on 880E8DDC to 88258AD8 (Module: sceHP_Remote_Driver, Library: sceHprm, NID: 2BCEC83E).
hookSyscall: Set Syscall Hook on 880E8ECC to 88258B58 (Module: sceHP_Remote_Driver, Library: sceHprm, NID: 40D2F9F0).
hookSyscall: Set Syscall Hook on 880E46AC to 8824D8D8 (Module: sceController_Service, Library: sceCtrl, NID: 3A622550).
hookSyscall: Set Syscall Hook on 880E46AC to 8824D8D8 (Module: sceController_Service, Library: sceCtrl, NID: 3A622550).
hookSyscall: Set Syscall Hook on 880E46C8 to 8824D844 (Module: sceController_Service, Library: sceCtrl, NID: C152080A).
hookSyscall: Set Syscall Hook on 880E46E4 to 8824D9F8 (Module: sceController_Service, Library: sceCtrl, NID: 1F803938).
hookSyscall: Set Syscall Hook on 880E4700 to 8824D964 (Module: sceController_Service, Library: sceCtrl, NID: 60B81F86).
hookSyscall: Set Syscall Hook on 880E3FDC to 8824DEEC (Module: sceController_Service, Library: sceCtrl, NID: B1D0E5CD).
hookSyscall: Set Syscall Hook on 880E4098 to 8824DE60 (Module: sceController_Service, Library: sceCtrl, NID: 0B588501).
hookAPI: Couldn't find Module. Might not be loaded yet.
hookSyscall: Set Syscall Hook on 880E8D8C to 8824D81C (Module: sceHP_Remote_Driver, Library: sceHprm, NID: 1910B327).
hookSyscall: Set Syscall Hook on 880E8DDC to 8824DDD8 (Module: sceHP_Remote_Driver, Library: sceHprm, NID: 2BCEC83E).
hookSyscall: Set Syscall Hook on 880E8ECC to 8824DE58 (Module: sceHP_Remote_Driver, Library: sceHprm, NID: 40D2F9F0).
